time, lat, lon, pm1.0
010/05/18T18:04:06,51.531334,-0.102770,.89
010/05/18T18:04:16,51.531301,-0.102545,.95
010/05/18T18:04:27,51.531242,-0.102334,1.02
010/05/18T18:04:29,51.531229,-0.102289,1.02
010/05/18T18:04:43,51.531177,-0.102071,.89
010/05/18T18:04:55,51.531106,-0.101748,.87
010/05/18T18:05:02,51.531064,-0.101507,.87
010/05/18T18:05:11,51.531005,-0.101296,.95
010/05/18T18:05:25,51.530895,-0.101031,.96
010/05/18T18:05:30,51.530843,-0.100901,.96
010/05/18T18:05:35,51.530777,-0.100705,.96
010/05/18T18:05:42,51.530695,-0.100521,.98
010/05/18T18:05:54,51.530618,-0.100316,.98
010/05/18T18:06:03,51.530567,-0.100111,.96
010/05/18T18:06:10,51.530506,-0.099907,.99
010/05/18T18:06:23,51.530440,-0.099643,.99
010/05/18T18:06:35,51.530413,-0.099430,.99
010/05/18T18:06:47,51.530376,-0.099219,.84
010/05/18T18:06:57,51.530308,-0.099000,.92
010/05/18T18:07:06,51.530243,-0.098798,.92
010/05/18T18:07:16,51.530165,-0.098581,.89
010/05/18T18:07:26,51.530105,-0.098386,.88
010/05/18T18:07:36,51.530051,-0.098165,.88
010/05/18T18:07:45,51.530020,-0.097930,1.07
010/05/18T18:07:47,51.530006,-0.097853,1.07
010/05/18T18:07:53,51.529964,-0.097638,1.07
010/05/18T18:08:01,51.529900,-0.097415,.95
010/05/18T18:08:21,51.529837,-0.097100,1.01
010/05/18T18:08:30,51.529788,-0.096883,1.09
010/05/18T18:08:41,51.529680,-0.096658,.99
010/05/18T18:08:43,51.529656,-0.096614,.99
010/05/18T18:08:54,51.529533,-0.096443,.99
010/05/18T18:09:07,51.529469,-0.096212,.93
010/05/18T18:09:13,51.529457,-0.096031,.95
010/05/18T18:09:22,51.529433,-0.095816,.95
010/05/18T18:09:25,51.529425,-0.095735,1.07
010/05/18T18:09:34,51.529395,-0.095522,1.07
010/05/18T18:09:49,51.529359,-0.095284,.99
010/05/18T18:10:00,51.529316,-0.094945,.98
010/05/18T18:10:07,51.529259,-0.094790,.98
010/05/18T18:10:15,51.529183,-0.094595,1.06
010/05/18T18:10:26,51.529108,-0.094362,1.05
010/05/18T18:10:37,51.529008,-0.094138,1.05
010/05/18T18:10:40,51.528993,-0.094099,.98
010/05/18T18:10:49,51.528942,-0.093857,.98
010/05/18T18:11:00,51.528899,-0.093597,1.06
