TimeStamp,time,TotalPM,PM10,PM2.5,PM1,particles_A,P,particles
10/05/2010,09:44:21,72.3,53.4,14.39,4, , , 
10/05/2010,09:44:36,121,55.9,16.13,4.46, , , 
10/05/2010,09:44:51,134.8,63,9.84,2.38, , , 
10/05/2010,09:45:06,124.8,48.3,10.06,2.27, , , 
10/05/2010,09:45:21,122.7,50.1,9.93,2.34, , , 
10/05/2010,09:45:36,113.3,54.6,10.81,2.21, , , 
10/05/2010,09:45:51,141.2,45.2,10.33,2.31, , , 
10/05/2010,09:46:06,83.2,29.5,4.89,1.15, , , 
10/05/2010,09:46:21,46.2,14.7,2.71,.79, , , 
10/05/2010,09:46:36,131,29.7,4,1.02, , , 
10/05/2010,09:46:51,91.8,28,3.79,.78, , , 
10/05/2010,09:47:06,125.8,21.8,2.99,.7, , , 
10/05/2010,09:47:21,143,32.2,2.76,.68, , , 
10/05/2010,09:47:36,89.3,22.5,2.8,.68, , , 
10/05/2010,09:47:51,91.9,19.6,2.78,.72, , , 
10/05/2010,09:48:06,29,14.9,2.75,.67, , , 
10/05/2010,09:48:21,126.1,23.5,2.4,.68, , , 
10/05/2010,09:48:36,25,9.9,2.46,.61, , , 
10/05/2010,09:48:51,66.4,9.6,2.66,.58, , , 
10/05/2010,09:49:06,23,9.3,2.7,.73, , , 
10/05/2010,09:49:21,13.5,10.1,2.49,.65, , , 
10/05/2010,09:49:36,48.2,7.5,2.27,.67, , , 
10/05/2010,09:49:51,5.9,4.9,2.05,.55, , , 
10/05/2010,09:50:06,68.1,10.7,2.12,.57, , , 
10/05/2010,09:50:21,9.8,8,2.47,.57, , , 
10/05/2010,09:50:36,21.7,14.9,2.04,.55, , , 
10/05/2010,09:50:51,48.5,7.5,2.21,.53, , , 
10/05/2010,09:51:06,7.8,6.2,1.8,.55, , , 
10/05/2010,09:51:21,40.9,10.8,2.53,.68, , , 
10/05/2010,09:51:36,18.7,8.7,2.13,.63, , , 
10/05/2010,09:51:51,42.7,10.3,2.63,.73, , , 
10/05/2010,09:52:06,33.8,6.7,2.62,.62, , , 
10/05/2010,09:52:21,22.1,7.2,2.29,.61, , , 
10/05/2010,09:52:36,51,9.8,2.64,.61, , , 
10/05/2010,09:52:51,88.7,11.6,2.14,.51, , , 
10/05/2010,09:53:06,54.4,17.9,2.38,.62, , , 
10/05/2010,09:53:21,69.9,12.2,2.25,.59, , , 
10/05/2010,09:53:36,11,8.5,2.6,.7, , , 
10/05/2010,09:53:51,35.1,11.8,2.69,.57, , , 
10/05/2010,09:54:06,35.5,14.1,2.42,.6, , , 
10/05/2010,09:54:21,48.3,16,2.67,.75, , , 
10/05/2010,09:54:36,40.6,9.4,2.47,.6, , , 
10/05/2010,09:54:51,18.1,4.6,1.79,.54, , , 
10/05/2010,09:55:06,49.7,7.8,2.17,.56, , , 
10/05/2010,09:55:21,39.6,8.7,2.36,.56, , , 
10/05/2010,09:55:36,51.5,14.6,1.65,.58, , , 
10/05/2010,09:55:51,77.6,9.4,2.22,.64, , , 
10/05/2010,09:56:06,20.8,6.5,2.12,.51, , , 
10/05/2010,09:56:21,41.8,9.5,2.07,.54, , , 
10/05/2010,09:56:36,36.5,8.1,2.13,.61, , , 
10/05/2010,09:56:51,21.8,6.7,2.02,.51, , , 
10/05/2010,09:57:06,8.7,6.8,1.8,.56, , , 
10/05/2010,09:57:21,23.7,8.6,2.14,.62, , , 
10/05/2010,09:57:36,25.6,14.5,1.89,.52, , , 
10/05/2010,09:57:51,41.3,10,2.51,.66, , , 
10/05/2010,09:58:06,9.5,6.7,2.03,.61, , , 
10/05/2010,09:58:21,18.5,4.9,2.26,.67, , , 
10/05/2010,09:58:36,16.7,10.5,2.07,.62, , , 
10/05/2010,09:58:51,38.9,12.8,2.41,.66, , , 
10/05/2010,09:59:06,5.7,5.2,2.16,.53, , , 
10/05/2010,09:59:21,21,6.9,2.45,.55, , , 
10/05/2010,09:59:36,46.1,6.3,2.07,.53, , , 
10/05/2010,09:59:51,10.7,8.1,2.15,.59, , , 
10/05/2010,10:00:06,38.8,8,2.4,.71, , , 
10/05/2010,10:00:21,20.7,6.7,2.79,.56, , , 
10/05/2010,10:00:36,32.2,5,1.98,.49, , , 
10/05/2010,10:00:51,6.4,5.3,1.77,.4, , , 
10/05/2010,10:01:06,16.8,3.6,2.01,.52, , , 
10/05/2010,10:01:21,43.1,9.3,1.99,.56, , , 
10/05/2010,10:01:36,26.9,8.1,1.98,.55, , , 
10/05/2010,10:01:51,5.2,4.7,2.24,.56, , , 
10/05/2010,10:02:06,4.6,4.1,1.83,.53, , , 
10/05/2010,10:02:21,3.4,3.3,1.9,.45, , , 
10/05/2010,10:02:36,9.7,6.3,2.04,.51, , , 
10/05/2010,10:02:51,47.6,5.8,2.03,.52, , , 
10/05/2010,10:03:06,25.9,9.5,2.34,.52, , , 
10/05/2010,10:03:21,12.9,8.6,2.1,.51, , , 
10/05/2010,10:03:36,41.1,10.4,2.11,.56, , , 
10/05/2010,10:03:51,13.7,10.5,2.53,.58, , , 
10/05/2010,10:04:06,18.2,4.8,2.18,.51, , , 
10/05/2010,10:04:21,25.5,9.8,1.85,.55, , , 
10/05/2010,10:04:36,9.3,6.7,1.34,.47, , , 
10/05/2010,10:04:51,17.9,4.8,1.95,.48, , , 
10/05/2010,10:05:06,18.3,9.1,1.93,.44, , , 
10/05/2010,10:05:21,21.1,5,1.53,.46, , , 
10/05/2010,10:05:36,19.6,5.6,2.2,.58, , , 
10/05/2010,10:05:51,25.4,8.1,2.43,.5, , , 
10/05/2010,10:06:06,24,8.8,1.88,.62, , , 
10/05/2010,10:06:21,40.9,10.2,2.1,.57, , , 
10/05/2010,10:06:36,22.6,9,2.48,.63, , , 
10/05/2010,10:06:51,7.4,6.4,2.49,.6, , , 
10/05/2010,10:07:06,31.8,5.4,1.96,.65, , , 
10/05/2010,10:07:21,28.4,4.8,1.96,.61, , , 
10/05/2010,10:07:36,28.6,5.5,2.15,.61, , , 
10/05/2010,10:07:51,9.7,7,1.95,.55, , , 
10/05/2010,10:08:06,13.5,7.3,2.35,.65, , , 
